,country,expected_deaths,excess_deaths,death.ratio,2019,2020,gdp.change
0,Austria,76621.0,6877.0,0.089753461844664,1.6,-6.7,-8.3
1,Belgium,95293.0,14281.0,0.14986410334442193,1.4,-8.3,-9.700000000000001
2,Bolivia,49549.0,29469.0,0.5947445962582494,2.2,-7.9,-10.100000000000001
3,Brazil,1067249.0,200843.0,0.18818757384640322,1.1,-5.8,-6.9
4,Chile,108913.0,14253.0,0.13086592050535747,1.1,-6.0,-7.1
5,Colombia,203063.0,33168.0,0.16333847131185888,3.3,-8.2,-11.5
6,Czech Republic,101469.0,11008.0,0.10848633572815343,2.3,-6.5,-8.8
7,Denmark,51466.0,-879.0,-0.017079236777678468,2.3,-4.5,-6.8
8,Ecuador,58906.0,37479.0,0.6362509761314636,0.1,-11.0,-11.1
9,Finland,51511.0,1113.0,0.021607035390499116,1.1,-4.0,-5.1
10,France,559786.0,45917.0,0.08202598850274927,1.5,-9.8,-11.3
11,Germany,895014.0,8072.0,0.009018853336372392,0.6,-6.0,-6.6
12,Hungary,115559.0,4860.0,0.042056438702307915,4.9,-6.1,-11.0
13,India,52062.0,8338.0,0.16015519956974378,4.2,-10.3,-14.5
14,Indonesia,34949.0,17535.0,0.5017310938796532,5.0,-1.5,-6.5
15,Ireland,23007.0,-31.0,-0.001347416003824923,5.9,-3.0,-8.9
16,Israel,41706.0,2405.0,0.05766556370785978,3.4,-5.9,-9.3
17,Italy,583873.0,80025.0,0.13705891520930066,0.3,-10.6,-10.9
18,Japan,1163638.0,-30734.0,-0.026411994108133285,0.7,-5.3,-6.0
19,Mexico,627846.0,227295.0,0.3620234898366797,-0.3,-9.0,-8.7
20,Netherlands,147064.0,12957.0,0.088104498721645,1.7,-5.4,-7.1000000000000005
21,Norway,38706.0,-322.0,-0.008319123650080092,1.2,-2.8,-4.0
22,Peru,104493.0,107023.0,1.0242121481821749,2.2,-13.9,-16.1
23,Poland,381175.0,44006.0,0.11544828490850659,4.1,-3.6,-7.699999999999999
24,Portugal,104764.0,8731.0,0.08333969684242679,2.2,-10.0,-12.2
25,Russia,109305.0,23445.0,0.21449156031288596,1.3,-4.1,-5.3999999999999995
26,South Africa,473462.0,58813.0,0.12421905031449197,0.2,-8.0,-8.2
27,South Korea,251721.0,797.0,0.0031662038526781636,2.0,-1.9,-3.9
28,Spain,385723.0,68362.0,0.17723081071131355,2.0,-12.8,-14.8
29,Sweden,82640.0,7469.0,0.09037996127783156,1.3,-4.7,-6.0
30,Switzerland,65944.0,6523.0,0.09891726313235473,1.2,-5.3,-6.5
31,Thailand,172166.0,-922.0,-0.0053552966323199705,2.4,-7.1,-9.5
32,Turkey,73484.0,15405.0,0.20963747210277067,0.9,-5.0,-5.9
33,United Kingdom,583691.0,74615.0,0.12783304865074158,1.5,-9.8,-11.3
34,United States,2776810.0,377605.0,0.13598517723574893,2.2,-4.3,-6.5
